id,name,retailer,price,category,ingredients,image,link,similar,gluten,lactose,nut
0,Vive Multipack zX Cola 6x330ml,aldi,1.49,drinks,"Carbonated Water, Colour: sulphite Ammonia Caramel; Flavourings, Acid: Phosphoric Acid; Sweeteners: Aspartame, Acesulfame K; Acidity Regulator: Sodium Citrates; Preservative: Potassium Sorbate; Flavourings (Contain Caffeine).",4088600350431_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-vive-multipack-zx-cola-6x330ml/4088600350431,,True,True,True
1,Castellore Organico Organic Prosecco Rosé Extra Dry 75c,aldi,8.79,drinks,,4088600417608_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-castellore-organico-organic-prosecco-rose-extra-dry-75cl/4088600417608,,,,
2,Specially Selected English Cider Cranberry & Clementine,aldi,1.69,drinks,,4088600543093_0.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-english-cider-cranberry-clementine-500ml/4088600543093,,,,
3,Specially Selected English Cider Sloe & Juniper 500ml,aldi,1.69,drinks,,4088600543079_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-english-cider-sloe-juniper-500ml/4088600543079,,,,
4,Specially Selected Vintage Cider 2021 Vintage 750ml,aldi,1.89,drinks,,4088600014845_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-vintage-cider-2021-vintage-750ml/4088600014845,,,,
5,Alska Fruit Cider - Nordic Berries 500ml,aldi,1.99,drinks,,7350071700204_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alska-fruit-cider-nordic-berries-500ml/7350071700204,,,,
6,Älska Nordic Berries 0.5% Premium Cider 500ml,aldi,1.09,drinks,"Carbonated Water, Sugar, Fruit Cider (contains Preservative: Sodium metabisulphite), Flavourings, Acid (Citric Acid), Black Carrot Extract, Colour (Plain Caramel), Preservative (Potassium Sorbate)",7350071700266_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alska-nordic-berries-05-premium-cider-500ml/7350071700266,,True,True,True
7,Canyon Springs Californian Shiraz 75cl,aldi,8.99,drinks,,4088600404752_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-canyon-springs-californian-shiraz-75cl/4088600404752,,,,
8,Choceur Instant Hot Chocolate Drink 400g,aldi,1.35,drinks,"Sugar, Whey Powder (milk), Fat Reduced Cocoa Powder (13%), Dried Glucose Syrup, Coconut Oil, Skimmed milk Powder, milk Chocolate (4%) (Sugar, Cocoa Mass, Whole milk Powder, Cocoa Butter, Skimmed milk Powder), Flavouring, Anticaking Agent: Silicon Dioxide; Thickeners: Carboxymethyl Cellulose, Guar Gum; milk Proteins, Acidity Regulator: Potassium Phosphates; Stabilisers: Polyphosphates, Sodium Phosphates; Emulsifier: Mono- And Diglycerides Of Fatty Acids.",4088600291666_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-choceur-instant-hot-chocolate-drink-400g/4088600291666,,True,False,True
9,Vive Multipack Diet Lemonade 6x330ml,aldi,1.39,drinks,"Carbonated Water, Lemon Juice From Concentrate (2%), Acid: Citric Acid; Flavouring, Acidity Regulator: Sodium Citrates; Sweeteners: Aspartame, Sodium Saccharin; Preservative: Potassium Sorbate.",4088600137117_0_L.png,https://groceries.aldi.co.uk/en-GB/p-vive-multipack-diet-lemonade-6x330ml/4088600137117,,True,True,True
